"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"2018"	"2018"	"Jan., 2018"	"2018/01"	1900	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1657	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1872	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Apr., 2018"	"2018/04"	1756	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"May, 2018"	"2018/05"	1785	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Jun., 2018"	"2018/06"	1707	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Jul., 2018"	"2018/07"	1826	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Aug., 2018"	"2018/08"	1813	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Sep., 2018"	"2018/09"	1830	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Oct., 2018"	"2018/10"	1858	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Nov., 2018"	"2018/11"	1724	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2018"	"2018"	"Dec., 2018"	"2018/12"	1739	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Jan., 2019"	"2019/01"	1706	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Feb., 2019"	"2019/02"	1635	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Mar., 2019"	"2019/03"	1838	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Apr., 2019"	"2019/04"	1734	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"May, 2019"	"2019/05"	1800	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Jun., 2019"	"2019/06"	1783	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Jul., 2019"	"2019/07"	1768	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Aug., 2019"	"2019/08"	1778	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Sep., 2019"	"2019/09"	1720	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Oct., 2019"	"2019/10"	1697	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Nov., 2019"	"2019/11"	1700	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2019"	"2019"	"Dec., 2019"	"2019/12"	1762	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Jan., 2020"	"2020/01"	1777	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Feb., 2020"	"2020/02"	1673	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Mar., 2020"	"2020/03"	1646	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Apr., 2020"	"2020/04"	1569	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"May, 2020"	"2020/05"	1692	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Jun., 2020"	"2020/06"	1664	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Jul., 2020"	"2020/07"	1649	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Aug., 2020"	"2020/08"	1621	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Sep., 2020"	"2020/09"	1602	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Oct., 2020"	"2020/10"	1587	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Nov., 2020"	"2020/11"	1559	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2020"	"2020"	"Dec., 2020"	"2020/12"	1543	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Jan., 2021"	"2021/01"	1670	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Feb., 2021"	"2021/02"	1482	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Mar., 2021"	"2021/03"	1660	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Apr., 2021"	"2021/04"	1653	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"May, 2021"	"2021/05"	1709	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Jun., 2021"	"2021/06"	1610	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Jul., 2021"	"2021/07"	1688	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Aug., 2021"	"2021/08"	1702	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Sep., 2021"	"2021/09"	1720	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Oct., 2021"	"2021/10"	1717	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Nov., 2021"	"2021/11"	1589	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2021"	"2021"	"Dec., 2021"	"2021/12"	1720	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	1668	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	1506	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	1685	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	1612	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	1723	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	1714	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	1743	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	1785	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	1689	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	1767	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	1661	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	1685	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	1604	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	1239	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	524	Not Applicable	Not Applicable
	"< 1 year"	"0"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional and partial)"	"2023/04"	Suppressed	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Jan., 2018"	"2018/01"	145	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Feb., 2018"	"2018/02"	126	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Mar., 2018"	"2018/03"	115	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Apr., 2018"	"2018/04"	103	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"May, 2018"	"2018/05"	140	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Jun., 2018"	"2018/06"	114	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Jul., 2018"	"2018/07"	135	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Aug., 2018"	"2018/08"	126	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Sep., 2018"	"2018/09"	106	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Oct., 2018"	"2018/10"	116	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Nov., 2018"	"2018/11"	118	Not Applicable	Not Applicable
	"1 year"	"1"	"2018"	"2018"	"Dec., 2018"	"2018/12"	104	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Jan., 2019"	"2019/01"	123	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Feb., 2019"	"2019/02"	136	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Mar., 2019"	"2019/03"	123	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Apr., 2019"	"2019/04"	135	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"May, 2019"	"2019/05"	143	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Jun., 2019"	"2019/06"	118	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Jul., 2019"	"2019/07"	124	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Aug., 2019"	"2019/08"	119	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Sep., 2019"	"2019/09"	122	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Oct., 2019"	"2019/10"	92	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Nov., 2019"	"2019/11"	110	Not Applicable	Not Applicable
	"1 year"	"1"	"2019"	"2019"	"Dec., 2019"	"2019/12"	129	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Jan., 2020"	"2020/01"	124	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Feb., 2020"	"2020/02"	117	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Mar., 2020"	"2020/03"	139	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Apr., 2020"	"2020/04"	89	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"May, 2020"	"2020/05"	130	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Jun., 2020"	"2020/06"	120	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Jul., 2020"	"2020/07"	121	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Aug., 2020"	"2020/08"	109	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Sep., 2020"	"2020/09"	96	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Oct., 2020"	"2020/10"	110	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Nov., 2020"	"2020/11"	117	Not Applicable	Not Applicable
	"1 year"	"1"	"2020"	"2020"	"Dec., 2020"	"2020/12"	92	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Jan., 2021"	"2021/01"	100	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Feb., 2021"	"2021/02"	111	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Mar., 2021"	"2021/03"	103	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Apr., 2021"	"2021/04"	126	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"May, 2021"	"2021/05"	140	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Jun., 2021"	"2021/06"	107	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Jul., 2021"	"2021/07"	130	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Aug., 2021"	"2021/08"	129	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Sep., 2021"	"2021/09"	135	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Oct., 2021"	"2021/10"	130	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Nov., 2021"	"2021/11"	151	Not Applicable	Not Applicable
	"1 year"	"1"	"2021"	"2021"	"Dec., 2021"	"2021/12"	128	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	137	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	114	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	119	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	135	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	124	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	133	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	156	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	123	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	126	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	119	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	158	Not Applicable	Not Applicable
	"1 year"	"1"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	141	Not Applicable	Not Applicable
	"1 year"	"1"	"2023 (provisional and partial)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	118	Not Applicable	Not Applicable
	"1 year"	"1"	"2023 (provisional and partial)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	96	Not Applicable	Not Applicable
	"1 year"	"1"	"2023 (provisional and partial)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	59	Not Applicable	Not Applicable
	"1 year"	"1"	"2023 (provisional and partial)"	"2023"	"Apr., 2023 (provisional and partial)"	"2023/04"	Suppressed	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Jan., 2018"	"2018/01"	86	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Feb., 2018"	"2018/02"	63	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Mar., 2018"	"2018/03"	99	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Apr., 2018"	"2018/04"	89	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"May, 2018"	"2018/05"	105	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Jun., 2018"	"2018/06"	106	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Jul., 2018"	"2018/07"	108	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Aug., 2018"	"2018/08"	95	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Sep., 2018"	"2018/09"	94	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Oct., 2018"	"2018/10"	60	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Nov., 2018"	"2018/11"	90	Not Applicable	Not Applicable
	"2 years"	"2"	"2018"	"2018"	"Dec., 2018"	"2018/12"	52	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Jan., 2019"	"2019/01"	74	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Feb., 2019"	"2019/02"	75	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Mar., 2019"	"2019/03"	72	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Apr., 2019"	"2019/04"	84	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"May, 2019"	"2019/05"	81	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Jun., 2019"	"2019/06"	93	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Jul., 2019"	"2019/07"	78	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Aug., 2019"	"2019/08"	83	Not Applicable	Not Applicable
	"2 years"	"2"	"2019"	"2019"	"Sep., 2019"	"2019/09"	67	Not Applicable	Not Applicable
